Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Grecia,GRC,11.4,11.4,14.2,16.6,16.4,17.5,16.4,16.4,17.9,18.5,20.1
Granada,GRD,10.8,11.4,11.5,10.8,11,10.5,10.4,10.2,10.7,10.4,10.3
Groenlandia,GRL,10.1,10.2,10.1,11.2,12.5,13.1,12.4,11.3,11.4,10.9,11.8
Guatemala,GTM,67.1,67.1,67.4,67.2,66.2,63.3,63.2,65,64,62.8,65.5
Guam,GUM,0.5,0.5,0.5,0.6,0.7,2.3,4.4,3.9,4.5,4.5,4.6
Guyana,GUY,30.6,32.8,28.7,26.9,24,25,21.3,22.1,16.8,11.3,12
Ingreso alto,HIC,9.118053329,9.483842037,9.956777958,10.41979715,10.55989047,10.60312741,10.793516,11.13370055,11.50418102,11.84667423,12.82272565
"Hong Kong, Región Administrativa Especial",HKG,0.1,0.5,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3
Honduras,HND,53.6,50.9,49.3,51.1,52.2,50.8,52.7,45.6,48.9,46.2,50.2
Países pobres muy endeudados (PPME),HPC,79.53733091,78.90380855,77.89300306,77.62248135,77.32991846,76.69111726,76.35289136,75.85482786,75.48689033,74.94487557,75.90825879
Croacia,HRV,29.8,27.2,29.4,32.8,33.6,33.1,31.8,29.8,32.8,31.6,32.4
Haití,HTI,79,79,82.2,80.4,77.8,76.1,76.1,76.2,76.2,76.4,76.3
Hungría,HUN,13.5,14.7,16.5,17.2,15.7,15.6,15.3,14.6,13.6,13.6,14.8
Sólo BIRF,IBD,16.72724609,15.97366588,15.88783666,16.0065413,16.00450696,16.00166866,16.29077758,16.42453569,16.63989933,17.06917373,17.90726271
BIRF y la AIF,IBT,22.2906266,21.551716,21.43390372,21.58752771,21.55772061,21.62945003,21.86790404,21.88967554,22.00470125,22.46859915,23.44763283
total de la AIF,IDA,65.71438536,65.26759946,65.95814954,66.22723645,65.82032192,65.81569595,64.84284701,63.75672624,63.40269545,63.79781744,64.66047163
mezcla de la AIF,IDB,60.7194267,60.23789199,62.42466398,62.24639337,61.83859237,62.3735091,61.14297713,60.3514227,60.67866836,61.34713597,61.81351194
Indonesia,IDN,36,32.4,30.1,30.6,29.3,26.6,27.8,25.2,22,19.8,21.9
Sólo AIF,IDX,70.65956905,70.26191455,69.46574611,70.14646113,69.65623998,69.10933666,68.42104246,67.04712049,65.97872512,66.0828977,67.30687003
Isla de Man,IMN,1.9,2.9,3.5,2.1,1.9,2.2,1.9,1.9,2,1.9,2
India,IND,36.2,35,34.8,34.9,33.9,33.4,33,32.5,32.9,33.5,36.1
No clasificado,INX,,,,,,,,,,,
Irlanda,IRL,5.3,7,6.9,7.7,8.8,9.5,8.6,10.1,10.8,12.3,13.7
"Irán, República Islámica del",IRN,0.9,0.9,0.9,1,0.9,0.9,1,1,1,1,0.9
Iraq,IRQ,1.7,1.1,1.3,1.5,1,0.8,0.9,0.5,0.5,0.9,1.1
Islandia,ISL,76,77.1,77.7,76.8,77.6,78,80.9,80.8,81.4,81.7,82.9
Israel,ISR,8.6,9.1,2.9,3.3,3.7,3.7,4,3.9,3.8,4.5,5.6
Italia,ITA,12.8,11.9,14.4,16.3,17.1,16.6,16.1,16.4,17.1,17.3,18.7
Jamaica,JAM,8.9,9.8,12.2,11.4,11.9,12.1,11.1,11,8.9,9.2,11.7
Jordania,JOR,3,3,2.9,3.1,3.1,3.2,4.7,5.3,7.2,8.5,10.7
Japón,JPN,4.7,4.8,4.7,5,5.6,6.2,6.4,6.9,7.3,7.8,8.5
Kazajstán,KAZ,1.4,1.4,1.3,1.2,1.3,1.7,2.1,2,1.9,1.9,1.8
Kenya,KEN,74,74.7,76.2,74.3,71.8,69.2,68.3,68.1,68.7,68.1,69
Kirguistán,KGZ,25.6,26,22.4,24.8,26.6,23.5,22.2,24.7,23.4,28.3,30
Camboya,KHM,64.8,64,64.4,65,63.7,60.6,58,56.3,58.1,53,51.4
Kiribati,KIR,50.1,50.5,48.7,46.2,48,47.5,48.1,42.5,42.3,42.2,42.2
Saint Kitts y Nevis,KNA,1,0.9,1.3,1.4,1.6,1.6,1.7,1.3,1.3,1.3,1.6
"Corea, República de",KOR,1.3,1.4,1.6,1.9,2.9,2.7,2.6,2.8,3.2,3.2,3.6
Kuwait,KWT,0,0,0,0,0,0,0,0,0,0.1,0.1
América Latina y el Caribe (excluido altos ingresos),LAC,30.81219293,29.96037488,29.36328019,28.9652953,29.21132775,29.41627945,30.13481414,30.65665687,31.49232162,31.78005593,34.92910872
República Democrática Popular Lao,LAO,64.8,63.6,62.4,58.6,58.2,53.3,51.7,50.6,50.2,50.5,50.6
Líbano,LBN,5.7,6.2,5.6,5.9,4.2,4.2,4,4,4.7,5.1,6.3
Liberia,LBR,88.6,87.1,86.2,87.5,91.2,91.9,92.8,93.6,94.4,89.7,93
Libia,LBY,2.5,3.2,2.6,2.4,2.3,2.9,2.8,2.9,2.9,3,3.2
Santa Lucía,LCA,13.2,12.9,12.4,12.1,11.7,11.5,11.2,10.2,10.2,10,10
América Latina y el Caribe,LCN,29.02498594,28.47286307,27.8903446,27.75674872,27.71295288,28.22394531,28.90822344,29.40199837,30.25279721,30.65901425,33.9329423
Países menos desarrollados: clasificación de las Naciones Unidas,LDC,75.82386134,75.27840776,74.18932259,73.48956781,72.80916233,72.58678678,71.97734966,70.72371801,69.76898148,69.65443915,70.93490842
Países de ingreso bajo,LIC,68.66962209,71.00106466,71.78493548,74.17321059,74.10848941,76.89984529,76.81489941,73.48960361,73.03505722,72.57217721,74.21297402
Liechtenstein,LIE,52.3,55.3,55.5,53.5,55,55.5,55.8,55.3,56.8,56.1,55.2
Sri Lanka,LKA,61.9,56.4,52.9,56.9,54.2,51.3,45.1,45.8,47.9,46.1,49.3
Países de ingreso mediano bajo,LMC,44.14233259,43.38909438,43.47409951,43.45369865,42.53240139,41.6452036,40.81863668,40.10200914,39.89277514,40.25270626,42.04187376
Ingreso mediano y bajo,LMY,24.42140987,23.56410761,23.3737721,23.36359914,23.41289185,23.44385018,23.72987272,23.76764,23.84689613,24.33508589,25.26248957
Lesotho,LSO,53,42.3,40.8,46.1,43.2,46,45.1,41.5,42.5,41.6,43.2
avanzada del dividendo demográfico,LTE,14.21531888,13.53082288,13.58285042,13.64381634,13.81344428,13.76725944,14.10739177,14.41002877,14.75534048,15.22962317,15.76804009
Lituania,LTU,21.5,22.7,23.9,26.3,27.7,29,31.5,33.8,33.7,33.5,31.7
Luxemburgo,LUX,3.7,3.8,4.2,5.7,6.8,9.1,13.5,15.3,16,16.4,20.8
Letonia,LVA,33.1,35.5,40.4,39.6,40.2,38.1,38.5,42.6,41,41.5,43.8
"Región Administrativa Especial de Macao, China",MAC,5.5,6.4,11.1,16.6,11.4,5.4,5.4,3.9,8.4,8.4,11
Isla de San Martín (parte francesa),MAF,,,,,,,,,,,
Marruecos,MAR,13.9,11.8,10.9,11.6,11.1,11.2,11.1,10.4,10.9,10.7,11.1
Mónaco,MCO,,,,,,,,,,,
República de Moldova,MDA,20,20.4,22.1,23.8,24.3,24.7,25.3,26.1,25.3,22,22.3
Madagascar,MDG,86.7,84.5,83.3,81.4,82.2,83.9,83.8,81.9,84.2,82.5,84.7
Maldivas,MDV,1.4,1.3,1.2,1.3,1.2,1.5,1.2,1.3,1.3,1.3,1.6
Oriente Medio y Norte de África,MEA,1.896674333,1.840844101,1.623127906,1.649689604,1.559839682,1.527430205,1.594509121,1.587153837,1.663919052,1.823345049,1.995650378
México,MEX,9.4,9.1,9,9.2,9.8,9.2,9.2,10.1,10.3,10.3,12.3
Islas Marshall,MHL,13.7,12.3,12,12.4,12.2,11.7,12.1,12,12,12.1,12
 Ingreso mediano,MIC,22.72428386,21.81024229,21.67348192,21.60862456,21.61980498,21.59428249,21.86676142,21.9573462,22.06394839,22.54733782,23.3864365
Macedonia del Norte,MKD,22.3,18.6,18.3,21.2,21.2,23.9,21.4,19,20.9,17,20
Malí,MLI,84,83.6,81.2,84.8,84.6,81.2,77.9,77,77.2,74.9,72.8
Malta,MLT,1.2,2,2.7,3.2,4.5,6,9.2,7.3,7.6,7.4,9.2
Myanmar,MMR,84.6,83.8,78.1,75.6,72,70,68.8,59.5,59.4,58.5,59.2
Oriente Medio y Norte de África (excluido altos ingresos),MNA,2.701204533,2.651985169,2.593235469,2.634698279,2.504537362,2.516849214,2.584371498,2.498080954,2.548985108,2.759722902,2.927494719
Montenegro,MNE,49.1,42.8,45.9,49.3,46,43,43.9,37.8,40.6,38.7,39.6
Mongolia,MNG,4.5,4,3,3,3.3,3.5,3.4,1.8,2.1,2.3,2.9
Mariana,MNP,0,0,0,0,0,0,0,0,0,0,0.3
Mozambique,MOZ,84.9,85.4,84.5,83.1,81.2,80.1,77.4,78.2,79,77.5,80.2
Mauritania,MRT,34,33.3,31.9,35.1,31,28.3,31.7,25.5,21.6,21.2,20.9
Mauricio,MUS,12.8,12,11.4,11.4,10.6,11.5,10.3,9.4,9.2,8.9,9.4
Malawi,MWI,81.2,80.2,80.2,79.8,82.8,81,78.9,76.9,73.2,70.9,71.5
Malasia,MYS,2,2.2,2.5,2.8,3,3.4,4.4,5.2,5.3,5.7,7
América del Norte,NAC,8.889854259,9.789689255,10.16870901,10.51008283,10.64276367,10.45552255,10.81338081,11.35193528,11.46307413,11.78375194,12.59905123
Namibia,NAM,31.2,31.6,31.9,30.7,30.2,29.3,29.2,30.2,30.9,30.2,31.2
Nueva Caledonia,NCL,4.8,5.9,6.2,6.6,4.3,5.1,3.7,5.1,4.6,5.2,6.1
Níger,NER,80.7,77.2,72.7,78.7,78.1,78.9,80.2,82,82,80.7,81.9
Nigeria,NGA,86,84.1,83.9,81.4,79.9,81.3,81.1,81.6,80.8,80.1,81.8
Nicaragua,NIC,54.4,53.3,53.3,54.3,53,50,49.5,48.9,51.3,50.5,52.2
Países Bajos,NLD,3.9,4.7,4.9,5,5.6,5.8,5.6,6.4,7.4,8.6,10.7
Noruega,NOR,56,56,56.9,56.6,55.8,56.5,57.7,58.9,58.9,59.8,60.9
Nepal,NPL,87.3,87,84.7,86,84,85.2,79.4,76.8,75,78.2,73.1
Nauru,NRU,0,0,0.1,0.1,0,0.1,0.2,0.6,0.7,0.6,1.3
Nueva Zelandia,NZL,29.4,30.3,28.8,28.3,29,29.3,30.1,28.4,28.9,28,28.7
Miembros OCDE,OED,10.37179041,10.87178383,11.45366432,11.94662664,12.19934981,12.29298109,12.47517887,12.86276708,13.26571828,13.77842841,14.90352388
Omán,OMN,0,0,0,0,0,0,0,0,0,0,0.1
Otros Estados pequeos,OSS,32.58988228,32.57758951,32.39426619,32.02778322,31.55878664,32.3242982,32.21762749,31.5667679,31.9564812,31.71325161,34.0445543
Pakistán,PAK,47.4,46.8,47.2,48.1,47.2,45.9,43.7,42.1,43.4,45.9,42.7
